,user_id,creation_date,last_access_date,reputation,location
13680,44707,1228848407,1454023821,179,San Diego CA
13681,50217,1230652930,1233743950,179,no_location
13682,55046,1231947346,1483613121,179,Sweden
13683,57556,1232551326,1232642395,179,no_location
13684,60357,1233260871,1485962947,179,United States
13685,3293,1219859456,1395102624,178,Redmond WA
13686,5196,1220877559,1272218185,178,Earth TX
13687,8944,1221499054,1486091541,178,Pittsburgh PA
13688,9070,1221500261,1486076687,178,San Francisco CA
13689,9621,1221506628,1481005335,178,Montreal Canada
13690,11557,1221556085,1479648703,178,Stoke-on-Trent United Kingdom
13691,11563,1221556241,1486121030,178,Switzerland
13692,12803,1221579859,1279554460,178,no_location
13693,16773,1221683718,1238776246,178,no_location
13694,19478,1221882492,1386782376,178,no_location
13695,29056,1224267867,1477603957,178,Egypt
13696,30032,1224609265,1243620250,178,Recife Brazil
13697,31604,1225039225,1350608994,178,China
13698,35186,1225992398,1483656491,178,United Kingdom
13699,35339,1226021454,1484950748,178,California
13700,43058,1228354872,1485408668,2330,Australia
13701,3018,1219752743,1472502602,2329,no_location
13702,10166,1221514258,1486077044,2329,Irvine CA
13703,25462,1223293776,1486103259,2328,no_location
13704,6896,1221482817,1486130189,2327,Troms&#248; Norway
13705,42562,1228242157,1442237834,2327,Boston MA
13706,59044,1225302681,1485585286,2326,no_location
13707,2921654,1226594254,1485705388,2326,no_location
13708,2176,1219257170,1282939851,2325,Omaha NE
13709,5454,1220983671,1486076922,2325,United States
13710,25163,1223147730,1486133517,2324,North Carolina
13711,27107,1223754095,1484574848,2324,Pittsburgh PA
13712,1849,1219096017,1480323246,2323,United Kingdom
13713,1894,1219129525,1485550536,2323,Earth
13714,7476,1221486548,1486049543,2323,Chicago IL
13715,43490,1228455666,1486023110,2322,Lima Peru
13716,109696,1230525087,1405285396,2322,4096R/5CFC3B88974EE250
13717,21892,1222290948,1486138159,2321,Bergen Norway
13718,7518,1221486813,1480642025,2320,United Kingdom
13719,31493,1224968241,1485727925,2319,Sao Paulo Brazil
13720,37519,1226619198,1485408574,2319,no_location
13721,57729,1232579373,1323809931,2318,Zurich Switzerland
13722,26155,1223475746,1291721449,2317,Timisoara Romania
13723,54499,1231835594,1462260045,2317,Austria
13724,216896,1223908552,1485941559,2317,The Hague The Netherlands
13725,2339,1219339648,1486043556,2316,Oslo Norway
13726,2885,1219686729,1484334322,2316,United States
13727,2707,1219595438,1484269842,2315,San Francisco CA
13728,43973,1228591700,1486051624,2315,Raleigh NC
13729,52109,1231260498,1485990163,2315,no_location
13730,56083,1232154808,1485977589,2315,North Reading MA United States
13731,25375,1223259284,1485721312,2314,Springfield MO
13732,41783,1227966317,1486131753,2312,Roswell GA United States
13733,52875,1231412653,1486041661,2312,no_location
13734,87781,1229028795,1485889787,2312,Windsor Canada
13735,5139,1220853392,1486040524,2310,Ukraine
13736,339,1217875547,1485718496,2308,United States
13737,30759,1224762056,1486031092,2308,no_location
13738,49955,1230581184,1485914498,2308,no_location
13739,54522,1231841129,1486113888,2308,no_location
13740,54641,1231861390,1485976585,2308,no_location
13741,55517,1232038307,1301250507,2308,no_location
13742,49695,1230515478,1486016564,2307,Austin TX
13743,18697,1221817573,1486132907,2306,Belgium
13744,32965,1225416752,1482524591,2306,no_location
13745,1469,1218823778,1484927588,2305,United Kingdom
13746,9938,1221510688,1486004279,2305,no_location
13747,14116,1221602668,1387557115,2305,no_location
13748,15755,1221654428,1424689211,2305,United Kingdom
13749,9106,1221500666,1348449713,2304,California
13750,29759,1224534228,1265654127,2304,no_location
13751,40240,1227523715,1486133725,2303,Aarhus Denmark
13752,41545,1227859496,1486135625,2302,Slovakia
13753,44710,1228848572,1486052458,2300,no_location
13754,2709,1219596347,1486071904,2299,San Francisco CA
13755,11466,1221552855,1486135436,2299,Brussels Belgium
13756,21209,1222185831,1485852762,2298,Slovakia
13757,28038,1224020936,1486102706,2298,San Francisco Bay Area California
13758,55129,1231960672,1465151745,2298,no_location
13759,2906,1219699723,1313676527,2296,Hendersonville NC
13760,18676,1221815616,1483989929,2296,San Antonio TX United States
13761,21311,1222195575,1485809880,2296,United States
13762,35241,1226000947,1486128903,2295,Keller TX
13763,55007,1224951943,1486130019,2295,Emmes Finland
13764,32117,1225210746,1486121841,2293,Brazil
13765,9597,1221506285,1485806808,2292,Madison WI
13766,6613,1221481328,1484894322,2291,Gurgaon India
13767,18665,1221814613,1486096087,2291,no_location
13768,4315,1220386110,1220897720,2290,no_location
13769,13075,1221584184,1486131517,2290,Denmark
13770,33152,1225472597,1429297254,2290,no_location
13771,39405,1227204151,1328544813,2290,Portland OR
13772,26567,1223570854,1486022018,2289,Norway
13773,28113,1224046408,1485536660,2289,Germany
13774,39114,1227129636,1485779929,2289,France
13775,14326,1221606763,1485819553,2288,San Diego CA
13776,1733,1219058527,1482313863,2287,Munich Germany
13777,5043,1220797419,1486119353,2287,Netherlands
13778,8559,1221495635,1486142444,2287,Klaipeda Lithuania
13779,44437,1228775858,1485925351,2287,New York NY United States
13780,16113,1221662803,1376091572,2286,no_location
13781,17613,1221741282,1486118551,2286,no_location
13782,24708,1222998372,1486139058,2286,San Diego CA
13783,35363,1226030496,1485821404,2285,Australia
13784,37630,1226661291,1486135709,2285,Maastricht Netherlands
13785,4615,1220560576,1371221838,2284,no_location
13786,46548,1229406761,1486120299,2284,no_location
13787,908,1218361922,1485958652,2283,United Kingdom
13788,44385,1228763497,1486031908,2283,Israel
13789,3359,1219909896,1486052926,2282,Addis Ababa Ethiopia
